City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Port Lincoln,AU,-34.7333,135.8667,61.5,60,4,29.64,clear sky
80,Koslan,RU,63.4564,48.8989,16.52,94,99,7.85,overcast clouds
81,Geraldton,AU,-28.7667,114.6,70.21,46,0,12.66,clear sky
82,Kaitangata,NZ,-46.2817,169.8464,56.73,83,88,6.15,overcast clouds
83,Buraydah,SA,26.326,43.975,57.65,68,100,8.12,overcast clouds
84,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,86,100,12.66,light snow
85,Hilo,US,19.7297,-155.09,77.11,89,17,4.0,few clouds
86,Minas,UY,-34.3759,-55.2377,69.98,74,99,17.96,overcast clouds
87,Nome,US,64.5011,-165.4064,31.15,96,100,4.59,overcast clouds
88,Ishigaki,JP,24.3448,124.1572,80.73,74,20,8.05,few clouds
89,Mount Gambier,AU,-37.8333,140.7667,56.68,77,17,19.24,few clouds
90,Souillac,MU,-20.5167,57.5167,66.58,88,20,4.61,few clouds
91,Sao Francisco,BR,-15.9486,-44.8644,67.62,93,84,4.41,light rain
92,Harlingen,US,26.1906,-97.6961,50.2,95,100,22.77,light rain
93,Yilan,TW,24.757,121.753,80.46,94,100,3.87,overcast clouds
94,Ostrovnoy,RU,68.0531,39.5131,33.3,93,100,9.22,overcast clouds
95,Glendive,US,47.1053,-104.7125,22.17,79,38,4.0,scattered clouds
96,Butaritari,KI,3.0707,172.7902,81.66,70,59,12.19,broken clouds
97,Storforshei,NO,66.4043,14.5233,30.83,52,0,5.86,clear sky
98,Aykhal,RU,66.0,111.5,-14.93,99,27,7.16,scattered clouds
99,Jamestown,US,42.097,-79.2353,28.02,49,100,11.01,overcast clouds
100,Dickinson,US,29.4608,-95.0513,46.04,92,100,11.5,overcast clouds
101,Dingle,PH,10.9995,122.6711,83.26,79,98,8.21,overcast clouds
102,Vittoria,IT,36.9537,14.5332,59.74,100,40,1.14,scattered clouds
103,Bayshore Gardens,US,27.4253,-82.5904,68.02,66,81,16.6,broken clouds
104,Ixtapa,MX,20.7,-105.2,76.23,79,95,1.59,overcast clouds
105,Hare Bay,CA,48.8499,-54.0148,29.55,75,12,10.65,few clouds
106,Axim,GH,4.8699,-2.2405,77.25,85,12,4.83,light rain
107,Iqaluit,CA,63.7506,-68.5145,-7.31,63,20,10.36,few clouds
108,New Norfolk,AU,-42.7826,147.0587,63.91,59,100,10.0,overcast clouds
109,Tessalit,ML,20.1986,1.0114,68.97,15,92,7.58,overcast clouds
110,Valparaiso,CL,-33.0393,-71.6273,58.64,67,0,4.61,clear sky
111,Victoria,HK,22.2855,114.1577,78.24,80,99,8.99,overcast clouds
112,Warrington,GB,53.3925,-2.5802,45.86,92,100,12.66,light rain
113,Chuy,UY,-33.6971,-53.4616,66.96,84,90,13.53,light rain
114,Barrow,US,71.2906,-156.7887,20.59,92,100,11.72,overcast clouds
115,Carnarvon,AU,-24.8667,113.6333,77.9,31,0,16.24,clear sky
116,Avarua,CK,-21.2078,-159.775,78.85,69,100,13.8,overcast clouds
117,Koundara,GN,12.4833,-13.3,70.21,23,100,2.84,overcast clouds
118,Port Alfred,ZA,-33.5906,26.891,54.18,93,12,1.99,few clouds
119,Grand Gaube,MU,-20.0064,57.6608,69.39,73,0,3.0,clear sky
120,Fortuna,US,40.5982,-124.1573,50.92,84,0,5.75,clear sky
121,Flinders,AU,-34.5833,150.8552,77.18,44,0,17.0,clear sky
122,Torbay,CA,47.6666,-52.7314,35.76,82,40,18.41,scattered clouds
123,Saint-Philippe,RE,-21.3585,55.7679,69.39,76,16,4.47,few clouds
124,Beitbridge,ZW,-22.2167,30.0,81.79,27,0,16.91,clear sky
125,Mar Del Plata,AR,-38.0023,-57.5575,64.42,94,0,0.0,clear sky
126,Bredasdorp,ZA,-34.5322,20.0403,53.46,87,22,3.83,few clouds
127,Sitka,US,57.0531,-135.33,40.68,89,100,7.61,overcast clouds
128,College,US,64.8569,-147.8028,11.59,89,0,0.0,clear sky
129,Verkhnyaya Toyma,RU,62.2349,44.9985,12.15,98,72,2.42,broken clouds
130,Cape Town,ZA,-33.9258,18.4232,63.37,77,0,5.99,clear sky
131,East London,ZA,-33.0153,27.9116,58.64,74,2,9.37,clear sky
132,The Valley,AI,18.217,-63.0578,81.1,74,6,20.94,clear sky
133,Oktyabrskiy,RU,54.4815,53.471,7.61,99,58,3.22,broken clouds
134,Havre-Saint-Pierre,CA,50.2334,-63.5986,26.6,92,0,2.3,clear sky
135,Porto San Giorgio,IT,43.1827,13.7934,52.75,83,97,19.42,overcast clouds
136,Hithadhoo,MV,-0.6,73.0833,81.14,78,36,10.98,scattered clouds
137,Hirna,ET,9.2167,41.1,56.5,42,10,1.36,clear sky
138,Kloulklubed,PW,7.0419,134.2556,83.37,76,15,9.84,few clouds
139,Aklavik,CA,68.2191,-135.0107,15.78,96,100,1.3,overcast clouds
140,Saldanha,ZA,-33.0117,17.9442,58.5,80,3,12.33,clear sky
141,Baykit,RU,61.67,96.37,-5.85,99,100,2.68,overcast clouds
142,Lasa,IT,46.6166,10.7002,35.02,86,90,5.93,overcast clouds
143,Little Current,CA,45.9793,-81.9248,26.91,65,100,22.75,light snow
144,Airai,TL,-8.9266,125.4092,65.41,88,100,1.74,overcast clouds
145,Bossangoa,CF,6.4926,17.4552,70.84,47,61,2.82,broken clouds
146,Santa Maria,BR,-29.6842,-53.8069,69.98,60,19,5.35,few clouds
147,Manggar,ID,-2.8833,108.2667,84.78,69,90,6.91,overcast clouds
148,Porto Novo,BJ,6.4965,2.6036,78.6,85,91,3.78,overcast clouds
149,Jasper,US,37.2001,-94.3502,31.44,61,0,6.24,clear sky
150,Rawson,AR,-43.3002,-65.1023,64.24,30,79,21.16,broken clouds
151,Saskylakh,RU,71.9167,114.0833,-18.54,100,96,1.21,overcast clouds
152,Tabou,CI,4.423,-7.3528,72.7,86,68,3.22,light rain
153,Maldonado,UY,-34.6667,-54.9167,73.22,75,76,14.0,broken clouds
154,Pisco,PE,-13.7,-76.2167,63.01,87,44,2.82,scattered clouds
155,Tsiroanomandidy,MG,-18.7667,46.0333,67.15,91,13,1.32,light rain
156,Thompson,CA,55.7435,-97.8558,9.61,95,100,7.58,light snow
157,Cap Malheureux,MU,-19.9842,57.6142,70.47,73,0,3.0,clear sky
158,Road Town,VG,18.4167,-64.6167,80.64,78,20,12.66,few clouds
159,Bandikui,IN,27.05,76.5667,61.66,36,20,2.13,few clouds
160,Krasnyy Oktyabr,RU,56.1167,38.8833,22.5,90,100,9.1,overcast clouds
161,Arkhangelsk,RU,64.5401,40.5433,28.51,93,100,6.71,overcast clouds
162,Komsomolskiy,UZ,40.4272,71.7189,45.32,87,100,0.0,fog
163,Namatanai,PG,-3.6667,152.4333,84.63,65,97,10.2,overcast clouds
164,Wanning,CN,18.8003,110.3967,79.07,83,98,12.97,overcast clouds
165,Esperance,AU,-33.8667,121.9,59.72,63,87,19.22,overcast clouds
